[2026-01-18 23:16:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:26] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:27] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:16:28] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:16:59] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:17:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:02] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:03] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:17:34] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:17:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:37] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:38] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:17:39] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:18:10] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:18:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:13] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:14] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:15] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:18:46] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:18:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:49] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:18:50] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:19:21] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:19:22] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:23] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:24] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:25] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:26] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:19:57] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:19:58] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:19:59] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:00] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:01] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:01] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:20:32] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:20:33] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:34] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:35] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:36] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:20:37] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:21:08] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:21:09] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:10] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:11] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:12] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:13] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:21:44] ALERT: Anomaly detected | Reasons: General anomaly
[2026-01-18 23:21:45] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:46] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:47] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:48] ALERT: Anomaly detected | Reasons: Failed login
[2026-01-18 23:21:49] ALERT: Anomaly detected | Reasons: Root access
[2026-01-18 23:22:20] ALERT: Anomaly detected | Reasons: General anomaly
